Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"5,6 tỷ",70 m,Đường Lê Văn Khương, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh,_,Y,Cần bán,12m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,5m,3,Y,14m,4,---
372 triệu,68 m,Đường Tỉnh lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,_,Y,Cần bán,8m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,1,---,"8,6m",2,---
750 triệu,250 m,Đường An Lạc, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,---,Y,5m,2,Y,25m,4,---
"2,4 tỷ",85 m,Đường Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè, Hồ Chí Minh,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,---,---,17m,3,---
"7,35 tỷ",91 m,Đường Huỳnh Khương Ninh, Phường Đa Kao, Quận 1, Hồ Chí Minh,_,Y,Cần bán,7m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"5,5m",2,Y,"16,5m",5,---
"5,6 tỷ",84 m,Đường Lũy Bán Bích, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh,_,---,Cần bán,30m,---,Nhà trong hẻm,---,---,---,2,---,---,4,---
"5,3 tỷ",70 m,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh,_,Y,Cần bán,12m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,5m,4,Y,14m,6,---
"4,5 tỷ",80 m,NGUYỄN LƯƠNG BẰNG Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,16m,---,---
"2,6 tỷ",100 m,TAM ĐA Đường Tam Đa, Phường Trường Thạnh, Quận 9, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"2,5 tỷ",100 m,LONG THUẬN Đường Long Thuận, Phường Trường Thạnh, Quận 9, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"4,8 tỷ",70 m,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh,_,Y,Cần bán,12m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,5m,3,Y,14m,4,---
"28,5 tỷ",120 m,Đường Âu Cơ, Phường 9, Quận Tân Bình, Hồ Chí Minh,_,---,Cần bán,10m,---,Nhà trong hẻm,---,---,---,4,---,---,7,---
300 triệu,50 m,Đường Tỉnh lộ 10, Xã Lê Minh Xuân, Huyện Bình Chánh, Hồ Chí Minh,_,Y,Cần bán,8m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"3,5m",1,---,6m,2,---
"2,62 tỷ",35 m,Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh,Đông Nam,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,5m",2,---,11m,2,---
560 triệu,60 m,Đường Tỉnh lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,_,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,1,---,8m,2,---
"4,9 tỷ",250 m,Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,_,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,---,3,Y,---,4,---
43 tỷ,130 m,Thành Phố HCM Đường Trương Định, Phường 6, Quận 3, Hồ Chí Minh,_,Y,Cần bán,30m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"3,6m",2,Y,35m,4,---
"3,3 tỷ",31 m,Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh,Tây Bắc,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,5m",2,---,9m,2,---
"4,8 tỷ",70 m,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh,_,Y,Cần bán,12m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,5m,3,Y,14m,4,---
"1,8 tỷ",75 m,TAM ĐA Đường Tam Đa, Phường Trường Thạnh, Quận 9, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,15m,---,---
445 triệu,55 m,Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,_,Y,Cần bán,25m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,2,Y,12m,2,---
"18,6 tỷ",3.256 m,Đường Giồng Cát, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,50m,---,---,66m,---,---
"18,5 tỷ",240 m,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,_,---,Cần bán,12m,---,"Đất nền, liền kề, đất dự án",---,---,---,---,---,---,---,---
"7,2 tỷ",80 m,Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh,Tây Nam,Y,Cần bán,8m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,16m,4,---
2 tỷ,160 m,Đường Tỉnh Lộ 15, Xã Tân Thạnh Đông, Huyện Củ Chi, Hồ Chí Minh,_,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,6m,---,---,26m,---,---
449 triệu,58 m,Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,_,---,Cần bán,12m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,2,---,15m,3,---
"5,46 tỷ",64 m,Quốc Lộ 13, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,Bắc,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",2,Y,15m,4,---
"1,35 tỷ",58 m,Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"3,2m",2,Y,10m,2,---
