,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Giá,Loại tin,Loại BDS,Chính chủ,Pháp lý,DT,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Hướng,Đường trước nhà,Phòng ăn,Nhà bếp,Sân thượng,Chổ để xe hơi
1,Đường Quốc lộ 22, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh,"4,1 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,3.400 m,72m,48m,---,---,_,25m,Y,Y,Y,Y
2,Đường Đỗ Xuân Hợp, Phường Linh Xuân, Thành phố Thủ Đức, Hồ Chí Minh,950 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,600 m,20m,30m,---,16,_,16m,---,---,---,---
3,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,"1,1 tỷ",Cần bán,Nhà mặt tiền,---,---,100 m,5m,20m,2,3,_,12m,---,---,---,---
4,Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,"7,7 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,163 m,4m,"12,5m",4,4,_,6m,Y,Y,Y,Y
5,Đường số 12, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,"5,54 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,65 m,"4,7m",14m,2,3,_,4m,Y,Y,Y,---
6,Quốc Lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh,"6,713 tỷ",Cần bán,Nhà mặt tiền,---,---,62 m,5m,14m,3,4,_,6m,Y,Y,Y,Y
7,Đường Ấp Mới, Xã Tân Xuân, Huyện Hóc Môn, Hồ Chí Minh,950 triệu,Cần bán,"Phòng trọ, nhà trọ",---,---,300 m,10m,30m,---,---,_,25m,---,---,---,---
8,Đường Gò Dưa, Phường Tam Bình, Thành phố Thủ Đức, Hồ Chí Minh,10 tỷ,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,85 m,"4,08m",21m,---,---,_,10m,Y,Y,Y,Y
9,Đường An Nhơn Tây, Thị Trấn Củ Chi, Huyện Củ Chi, Hồ Chí Minh,"4,65 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,3.900 m,60m,65m,---,---,_,25m,---,---,---,---
10,Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,"7,78 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,50 m,4m,13m,3,4,_,5m,Y,Y,Y,Y
