,Square,Length,Width,Road,Floor,Bedroom,Price,Direction,DiningRoom,Kitchen,Legal,Terrace,Garage,Owned,Route,Ward,District,City,Type Of New,Type Of Estate
0,3.0,48,72,25,,,"4,1 tỷ",_,Y,Y,Sổ hồng/ Sổ đỏ,Y,Y,,Đường Quốc lộ 22, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh,Cần bán,"Đất thổ cư, đất ở"
1,6.0,30,20,16,,16,950 triệu,_,,,Sổ hồng/ Sổ đỏ,,,,Đường Đỗ Xuân Hợp, Phường Linh Xuân, Thành phố Thủ Đức, Hồ Chí Minh,Cần bán,Nhà mặt tiền
2,1.0,20,5,12,2,3,"1,1 tỷ",_,,,,,,,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,Cần bán,Nhà mặt tiền
3,1.0,"12,5",4,6,4,4,"7,7 tỷ",_,Y,Y,Sổ hồng/ Sổ đỏ,Y,Y,,Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,Cần bán,Nhà trong hẻm
4,6.0,14,"4,7",4,2,3,"5,54 tỷ",_,Y,Y,Sổ hồng/ Sổ đỏ,Y,,,Đường số 12, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,Cần bán,Nhà trong hẻm
5,6.0,14,5,6,3,4,"6,713 tỷ",_,Y,Y,,Y,Y,,Quốc Lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh,Cần bán,Nhà mặt tiền
6,3.0,30,10,25,,,950 triệu,_,,,,,,,Đường Ấp Mới, Xã Tân Xuân, Huyện Hóc Môn, Hồ Chí Minh,Cần bán,"Phòng trọ, nhà trọ"
7,8.0,21,"4,08",10,,,10 tỷ,_,Y,Y,Sổ hồng/ Sổ đỏ,Y,Y,,Đường Gò Dưa, Phường Tam Bình, Thành phố Thủ Đức, Hồ Chí Minh,Cần bán,"Đất thổ cư, đất ở"
8,3.0,65,60,25,,,"4,65 tỷ",_,,,Sổ hồng/ Sổ đỏ,,,,Đường An Nhơn Tây, Thị Trấn Củ Chi, Huyện Củ Chi, Hồ Chí Minh,Cần bán,"Đất thổ cư, đất ở"
9,5.0,13,4,5,3,4,"7,78 tỷ",_,Y,Y,Sổ hồng/ Sổ đỏ,Y,Y,,Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,Cần bán,Nhà mặt tiền
10,7.0,14,"4,6",7,3,4,6 tỷ,_,Y,Y,Sổ hồng/ Sổ đỏ,Y,Y,,Đường số 11, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,Cần bán,"Đất thổ cư, đất ở"
11,1.0,20,5,6,1,4,"1,15 tỷ",_,Y,Y,Sổ hồng/ Sổ đỏ,Y,Y,,233 Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,Cần bán,Nhà mặt tiền
12,6.0,30,20,16,,16,950 triệu,_,,,Sổ hồng/ Sổ đỏ,,,,Đường Lê Thị Riêng, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh,Cần bán,"Đất thổ cư, đất ở"
13,6.0,15,"4,5",8,3,4,"5,6 tỷ",_,Y,Y,Sổ hồng/ Sổ đỏ,Y,Y,,Đường Số 10, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh,Cần bán,Nhà mặt tiền
14,5.0,10,"4,3",3,3,3,"5,73 tỷ",_,Y,Y,Sổ hồng/ Sổ đỏ,Y,,,Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,Cần bán,Nhà mặt tiền
